ntips	nstates	this_algo	error	rep	mean_time	median_time	algo
32	32	1	8.28127285260508	3	0.9172233	0.910118	SEQUENTIAL_OPTIMIZED
64	32	1	30.593652323465	3	1.0876562	1.0800835	SEQUENTIAL_OPTIMIZED
128	32	1	94.2968758675673	3	1.6185201	1.6079175	SEQUENTIAL_OPTIMIZED
256	32	1	257.787606372888	3	1.7489124	1.7387895	SEQUENTIAL_OPTIMIZED
512	32	1	582.956357850027	3	4.4734198	4.5021075	SEQUENTIAL_OPTIMIZED
1024	32	1	1205.54855151808	3	11.6675545	11.713249	SEQUENTIAL_OPTIMIZED
32	2	2	1.9173767753955e-05	3	0.8635871	0.854112	SEQUENTIAL_BRANCHWISE
64	2	2	2.70997029758746e-05	3	1.1809353	1.1704885	SEQUENTIAL_BRANCHWISE
128	2	2	7.97091318531784e-05	3	2.2503178	2.241429	SEQUENTIAL_BRANCHWISE
256	2	2	0.000143523557369463	3	4.2820277	4.254324	SEQUENTIAL_BRANCHWISE
512	2	2	0.000311160775709141	3	9.8734027	9.886166	SEQUENTIAL_BRANCHWISE
1024	2	2	0.000610958287552421	3	18.2430074	18.2448975	SEQUENTIAL_BRANCHWISE
32	4	2	9.57585512395553e-06	3	0.5766486	0.5761525	SEQUENTIAL_BRANCHWISE
64	4	2	2.9392679493867e-05	3	1.1467864	1.1308005	SEQUENTIAL_BRANCHWISE
128	4	2	0.000103735869942057	3	2.3423464	2.320805	SEQUENTIAL_BRANCHWISE
256	4	2	0.000129252402359725	3	4.380071	4.37183	SEQUENTIAL_BRANCHWISE
512	4	2	0.000267943098947399	3	8.431896	8.5576225	SEQUENTIAL_BRANCHWISE
1024	4	2	0.000594737102119325	3	16.7721447	16.700038	SEQUENTIAL_BRANCHWISE
32	8	2	1.17204975360607e-05	3	0.6792962	0.677894	SEQUENTIAL_BRANCHWISE
64	8	2	4.42796728634676e-05	3	1.4942081	1.4887305	SEQUENTIAL_BRANCHWISE
128	8	2	6.58708532341734e-05	3	2.5404133	2.502353	SEQUENTIAL_BRANCHWISE
256	8	2	0.000115522962971681	3	5.1058981	5.0883665	SEQUENTIAL_BRANCHWISE
512	8	2	0.000279801204214891	3	10.7445707	10.827895	SEQUENTIAL_BRANCHWISE
1024	8	2	0.000601302245286206	3	21.8247592	21.747056	SEQUENTIAL_BRANCHWISE
32	16	2	1.83054408964267e-05	3	0.9788545	0.9776245	SEQUENTIAL_BRANCHWISE
64	16	2	3.70552343866848e-05	3	1.6077863	1.600886	SEQUENTIAL_BRANCHWISE
128	16	2	7.28696555825081e-05	3	3.0366445	3.0275425	SEQUENTIAL_BRANCHWISE
256	16	2	0.000165046466975127	3	6.3363245	6.298338	SEQUENTIAL_BRANCHWISE
512	16	2	0.000254171630786004	3	11.1460673	10.9343925	SEQUENTIAL_BRANCHWISE
1024	16	2	0.000562332486424566	3	24.9670074	24.9010835	SEQUENTIAL_BRANCHWISE
32	32	2	1.55046255514435e-05	3	1.1352777	1.130985	SEQUENTIAL_BRANCHWISE
64	32	2	3.82812159074319e-05	3	2.0126982	2.012936	SEQUENTIAL_BRANCHWISE
128	32	2	6.91733078781454e-05	3	4.0517184	4.0442605	SEQUENTIAL_BRANCHWISE
256	32	2	0.000149808765172565	3	7.1475751	7.036625	SEQUENTIAL_BRANCHWISE
512	32	2	0.000251371127660605	3	13.7081573	13.7371525	SEQUENTIAL_BRANCHWISE
1024	32	2	0.000493772952722793	3	28.1756264	28.150764	SEQUENTIAL_BRANCHWISE
32	2	0	8.84974929597844	4	0.0871414	0.0805035	AUTO_TUNING
64	2	0	0.271861153235591	4	0.7285249	0.71791	AUTO_TUNING
128	2	0	1.20989771667138	4	1.5304152	1.5103375	AUTO_TUNING
256	2	0	1.96349821364373	4	3.3223653	3.3317625	AUTO_TUNING
512	2	0	4.25144817790488	4	6.5342192	6.4619895	AUTO_TUNING
1024	2	0	8.80744178324653	4	14.5537946	14.5219745	AUTO_TUNING
32	4	0	11.8437294931665	4	0.0917908	0.0849315	AUTO_TUNING
64	4	0	1.23624259695578	4	0.7521901	0.7397835	AUTO_TUNING
128	4	0	1.50191868849549	4	1.6044407	1.5958635	AUTO_TUNING
256	4	0	2.70631009901729	4	3.0064316	2.99136	AUTO_TUNING
512	4	0	4.20813586582187	4	6.0189599	5.9905715	AUTO_TUNING
1024	4	0	10.7344643682441	4	12.2421244	12.226856	AUTO_TUNING
32	8	0	7.39377515663504	4	0.1704698	0.163057	AUTO_TUNING
64	8	0	0.195510456764779	4	0.8679782	0.8615125	AUTO_TUNING
128	8	0	0.497595274197749	4	2.0493686	2.0329235	AUTO_TUNING
256	8	0	2.05868186618278	4	4.1748947	4.1438905	AUTO_TUNING
512	8	0	4.88553690462516	4	7.2785414	7.211859	AUTO_TUNING
1024	8	0	9.70693666633088	4	14.8947465	14.99493	AUTO_TUNING
32	16	0	10.7999480370716	4	0.1349105	0.1258905	AUTO_TUNING
64	16	0	0.66753909974662	4	1.1707181	1.165548	AUTO_TUNING
128	16	0	1.29456770961528	4	2.0212672	2.014002	AUTO_TUNING
256	16	0	2.67353690717664	4	4.463424	4.4168685	AUTO_TUNING
512	16	0	5.20595016861716	4	9.0688638	8.935417	AUTO_TUNING
1024	16	0	11.489105512987	4	17.6473758	17.7680675	AUTO_TUNING
32	32	0	11.6191172442265	4	0.2995255	0.297455	AUTO_TUNING
64	32	0	1.00713169275997	4	1.8263491	1.5728215	AUTO_TUNING
128	32	0	1.29663285687593	4	2.4864327	2.319698	AUTO_TUNING
256	32	0	3.54458783538712	4	4.4295211	4.3882505	AUTO_TUNING
512	32	0	3.81573268510385	4	9.7459132	9.7060325	AUTO_TUNING
1024	32	0	7.81962227834333	4	20.664738	20.8025595	AUTO_TUNING
32	2	1	8.54387950986816	4	0.2252171	0.219678	SEQUENTIAL_OPTIMIZED
64	2	1	35.4156321322071	4	0.3443426	0.335995	SEQUENTIAL_OPTIMIZED
128	2	1	97.8666580044147	4	0.4649277	0.457601	SEQUENTIAL_OPTIMIZED
256	2	1	261.246114997917	4	0.7651133	0.757106	SEQUENTIAL_OPTIMIZED
512	2	1	558.68501380376	4	1.6557399	1.6612995	SEQUENTIAL_OPTIMIZED
1024	2	1	1226.52045299613	4	4.0056631	3.9550855	SEQUENTIAL_OPTIMIZED
32	4	1	7.41396784998486	4	0.2338722	0.2260535	SEQUENTIAL_OPTIMIZED
64	4	1	38.3932084712357	4	0.4515535	0.442349	SEQUENTIAL_OPTIMIZED
128	4	1	99.8372799354772	4	0.7208866	0.715573	SEQUENTIAL_OPTIMIZED
256	4	1	242.056157825167	4	1.2622711	1.263087	SEQUENTIAL_OPTIMIZED
512	4	1	517.890061549152	4	1.7352471	1.7251365	SEQUENTIAL_OPTIMIZED
1024	4	1	1261.6279420407	4	4.5285115	4.5083395	SEQUENTIAL_OPTIMIZED
32	8	1	7.04704320196771	4	0.3983068	0.3907505	SEQUENTIAL_OPTIMIZED
64	8	1	36.7997228213225	4	0.5978087	0.593229	SEQUENTIAL_OPTIMIZED
128	8	1	88.2221067857317	4	0.7459376	0.7365035	SEQUENTIAL_OPTIMIZED
256	8	1	271.719429767132	4	1.1125022	1.1124735	SEQUENTIAL_OPTIMIZED
512	8	1	564.714517780573	4	2.1643654	2.1128325	SEQUENTIAL_OPTIMIZED
